# folder; name; repo;

# Oh My ZSH - Plugins
.oh-my-zsh/custom/plugins;zsh-autocomplete;marlonrichert/zsh-autocomplete;
.oh-my-zsh/custom/plugins;zsh-completions;zsh-users/zsh-completions;
.oh-my-zsh/custom/plugins;zsh-autosuggestions;zsh-users/zsh-autosuggestions;
.oh-my-zsh/custom/plugins;zsh-history-substring-search;zsh-users/zsh-history-substring-search;
.oh-my-zsh/custom/plugins;zsh-syntax-highlighting;zsh-users/zsh-syntax-highlighting;
.oh-my-zsh/custom/plugins;autoupdate;TamCore/autoupdate-oh-my-zsh-plugins;

# Oh My ZSH - Themes
.oh-my-zsh/themes;dracula;dracula/zsh;
.oh-my-zsh/themes;dracula-powerlevel10k;dracula/powerlevel10k;
.oh-my-zsh/themes;powerlevel10k;romkatv/powerlevel10k;

# Oh My Posh - Tehmes
.oh-my-posh/themes;dracula;dracula/oh-my-posh;
.oh-my-posh/themes;dracula-powerlevel10k;dracula/p10k-oh-my-posh;

# Programs
.local/opt;reshade;kevinlekiller/reshade-steam-proton;
